OBJECTID,SN_ID,WBenUse
527,05-1089,Domestic
528,05-109,Agricultural
529,05-1090,Agricultural
530,05-1090,Domestic
531,05-1091,Other
532,05-1092,Agricultural
533,05-1092,StockWatering
534,05-1092,Domestic
535,05-1093,Agricultural
536,05-1093,Mining
537,05-1094,Agricultural
538,05-1094,Domestic
539,05-1094,StockWatering
540,05-1095,StockWatering
541,05-1096,Domestic
542,05-1096,Agricultural
543,05-1097,Domestic
544,05-1097,Agricultural
545,05-1097,StockWatering
546,05-1098,StockWatering
547,05-1099,StockWatering
548,05-110,Domestic
549,05-110,Other
550,05-1100,StockWatering
551,05-1101,StockWatering
552,05-1102,Domestic
553,05-1102,Agricultural
554,05-1102,StockWatering
555,05-1103,Agricultural
556,05-1104,Agricultural
557,05-1104,StockWatering
558,05-1105,Other
559,05-1106,Agricultural
560,05-1106,StockWatering
561,05-1106,Domestic
562,05-1107,Other
563,05-1108,Domestic
564,05-1108,Agricultural
565,05-1108,StockWatering
566,05-1109,StockWatering
567,05-1109,Agricultural
568,05-111,Agricultural
569,05-111,Domestic
570,05-1110,StockWatering
571,05-1110,Agricultural
572,05-1111,Agricultural
573,05-1111,Domestic
574,05-1111,StockWatering
575,05-1112,Agricultural
576,05-1112,StockWatering
577,05-1112,Domestic
578,05-1113,StockWatering
579,05-1113,Domestic
580,05-1113,Agricultural
581,05-1114,Domestic
582,05-1114,Agricultural
583,05-1114,StockWatering
584,05-1115,Domestic
585,05-1115,Agricultural
586,05-1115,StockWatering
587,05-1116,Other
588,05-1117,StockWatering
589,05-1117,Agricultural
590,05-1117,Domestic
591,05-1118,StockWatering
592,05-1118,Agricultural
593,05-1118,Domestic
594,05-1119,Agricultural
595,05-1119,StockWatering
596,05-1119,Domestic
597,05-112,Other
598,05-112,Domestic
599,05-1120,Other
600,05-1121,Domestic
601,05-1121,Agricultural
602,05-1122,Domestic
603,05-1122,Agricultural
604,05-1122,StockWatering
605,05-1123,Domestic
606,05-1123,Agricultural
607,05-1124,Agricultural
608,05-1124,StockWatering
609,05-1124,Domestic
610,05-1125,Agricultural
611,05-1125,Domestic
612,05-1126,Domestic
613,05-1126,StockWatering
614,05-1126,Agricultural
615,05-1127,Domestic
616,05-1127,StockWatering
617,05-1127,Agricultural
618,05-1128,Domestic
619,05-1128,Agricultural
620,05-1128,StockWatering
621,05-1129,Agricultural
622,05-1129,Domestic
623,05-113,Other
624,05-113,Domestic
625,05-1130,Domestic
626,05-1130,StockWatering
627,05-1130,Agricultural
628,05-1131,Agricultural
629,05-1131,Domestic
